,distrito,date,valor,year
188,madrid,01/01/2010,20302,2010
189,madrid,01/01/2011,20784,2011
190,madrid,01/01/2012,19838,2012
191,madrid,01/01/2013,19973,2013
192,madrid,01/01/2014,20205,2014
193,madrid,01/01/2015,21176,2015
194,madrid,01/01/2016,21888,2016
195,madrid,01/01/2017,22364,2017
196,madrid,01/01/2018,22542,2018
197,madrid,01/01/2019,23463,2019
198,moncloa,01/01/2002,18209,2002
199,moncloa,01/01/2003,19109,2003
200,moncloa,01/01/2004,19896,2004
201,moncloa,01/01/2005,20212,2005
202,moncloa,01/01/2006,21805,2006
203,moncloa,01/01/2007,23600,2007
204,moncloa,01/01/2008,25823,2008
205,moncloa,01/01/2009,23859,2009
206,moncloa,01/01/2010,23759,2010
207,moncloa,01/01/2011,24896,2011
208,moncloa,01/01/2012,22782,2012
209,moncloa,01/01/2013,23485,2013
210,moncloa,01/01/2014,24137,2014
211,moncloa,01/01/2015,24821,2015
212,moncloa,01/01/2016,25830,2016
213,moncloa,01/01/2017,26984,2017
214,moncloa,01/01/2018,26786,2018
215,moncloa,01/01/2019,28275,2019
216,moratalaz,01/01/2002,13947,2002
217,moratalaz,01/01/2003,14993,2003
218,moratalaz,01/01/2004,15716,2004
219,moratalaz,01/01/2005,16664,2005
220,moratalaz,01/01/2006,18151,2006
221,moratalaz,01/01/2007,19005,2007
222,moratalaz,01/01/2008,20430,2008
223,moratalaz,01/01/2009,20242,2009
224,moratalaz,01/01/2010,19936,2010
225,moratalaz,01/01/2011,19955,2011
226,moratalaz,01/01/2012,19670,2012
227,moratalaz,01/01/2013,19831,2013
228,moratalaz,01/01/2014,20102,2014
229,moratalaz,01/01/2015,20717,2015
230,moratalaz,01/01/2016,21069,2016
231,moratalaz,01/01/2017,21443,2017
232,moratalaz,01/01/2018,21890,2018
233,moratalaz,01/01/2019,22484,2019
234,puente_vallecas,01/01/2002,11451,2002
235,puente_vallecas,01/01/2003,12260,2003
236,puente_vallecas,01/01/2004,13328,2004
237,puente_vallecas,01/01/2005,13891,2005
238,puente_vallecas,01/01/2006,14970,2006
239,puente_vallecas,01/01/2007,15778,2007
240,puente_vallecas,01/01/2008,16385,2008
241,puente_vallecas,01/01/2009,16360,2009
242,puente_vallecas,01/01/2010,15928,2010
243,puente_vallecas,01/01/2011,15897,2011
244,puente_vallecas,01/01/2012,15524,2012
245,puente_vallecas,01/01/2013,15479,2013
246,puente_vallecas,01/01/2014,15390,2014
247,puente_vallecas,01/01/2015,16121,2015
248,puente_vallecas,01/01/2016,16276,2016
249,puente_vallecas,01/01/2017,16229,2017
250,puente_vallecas,01/01/2018,16620,2018
251,puente_vallecas,01/01/2019,17076,2019
252,retiro,01/01/2002,18865,2002
253,retiro,01/01/2003,20090,2003
254,retiro,01/01/2004,20884,2004
255,retiro,01/01/2005,21088,2005
256,retiro,01/01/2006,22619,2006
257,retiro,01/01/2007,23992,2007
258,retiro,01/01/2008,26251,2008
259,retiro,01/01/2009,25694,2009
260,retiro,01/01/2010,25265,2010
261,retiro,01/01/2011,26286,2011
262,retiro,01/01/2012,24570,2012
263,retiro,01/01/2013,24553,2013
264,retiro,01/01/2014,24685,2014
265,retiro,01/01/2015,26408,2015
266,retiro,01/01/2016,27630,2016
267,retiro,01/01/2017,28753,2017
268,retiro,01/01/2018,29043,2018
269,retiro,01/01/2019,30721,2019
270,salamanca,01/01/2002,18930,2002
271,salamanca,01/01/2003,20187,2003
272,salamanca,01/01/2004,20983,2004
273,salamanca,01/01/2005,22342,2005
274,salamanca,01/01/2006,23924,2006
275,salamanca,01/01/2007,26157,2007
276,salamanca,01/01/2008,28278,2008
277,salamanca,01/01/2009,26061,2009
278,salamanca,01/01/2010,25148,2010
279,salamanca,01/01/2011,26881,2011
280,salamanca,01/01/2012,24040,2012
281,salamanca,01/01/2013,24304,2013
282,salamanca,01/01/2014,24539,2014
283,salamanca,01/01/2015,26041,2015
284,salamanca,01/01/2016,28017,2016
285,salamanca,01/01/2017,29082,2017
286,salamanca,01/01/2018,29206,2018
287,salamanca,01/01/2019,31197,2019
288,san_blas,01/01/2002,13709,2002
289,san_blas,01/01/2003,14465,2003
290,san_blas,01/01/2004,15732,2004
291,san_blas,01/01/2005,16206,2005
292,san_blas,01/01/2006,17510,2006
293,san_blas,01/01/2007,18306,2007
294,san_blas,01/01/2008,19274,2008
295,san_blas,01/01/2009,19557,2009
296,san_blas,01/01/2010,19129,2010
297,san_blas,01/01/2011,19435,2011
298,san_blas,01/01/2012,19012,2012
299,san_blas,01/01/2013,18740,2013
300,san_blas,01/01/2014,18694,2014
301,san_blas,01/01/2015,19403,2015
302,san_blas,01/01/2016,19804,2016
303,san_blas,01/01/2017,20036,2017
304,san_blas,01/01/2018,20098,2018
305,san_blas,01/01/2019,20531,2019
306,tetuan,01/01/2002,15444,2002
307,tetuan,01/01/2003,16203,2003
308,tetuan,01/01/2004,17022,2004
309,tetuan,01/01/2005,17709,2005
310,tetuan,01/01/2006,18746,2006
311,tetuan,01/01/2007,19558,2007
312,tetuan,01/01/2008,21347,2008
313,tetuan,01/01/2009,20276,2009
314,tetuan,01/01/2010,20205,2010
315,tetuan,01/01/2011,20960,2011
316,tetuan,01/01/2012,19679,2012
317,tetuan,01/01/2013,19831,2013
318,tetuan,01/01/2014,19664,2014
319,tetuan,01/01/2015,20656,2015
320,tetuan,01/01/2016,21447,2016
321,tetuan,01/01/2017,21731,2017
322,tetuan,01/01/2018,21882,2018
323,tetuan,01/01/2019,22925,2019
324,usera,01/01/2002,12188,2002
325,usera,01/01/2003,12964,2003
326,usera,01/01/2004,13766,2004
327,usera,01/01/2005,14088,2005
328,usera,01/01/2006,15176,2006
329,usera,01/01/2007,15654,2007
330,usera,01/01/2008,16352,2008
331,usera,01/01/2009,16766,2009
332,usera,01/01/2010,16025,2010
333,usera,01/01/2011,16031,2011
334,usera,01/01/2012,16115,2012
335,usera,01/01/2013,16041,2013
336,usera,01/01/2014,15580,2014
337,usera,01/01/2015,16222,2015
338,usera,01/01/2016,16595,2016
339,usera,01/01/2017,16465,2017
340,usera,01/01/2018,16786,2018
341,usera,01/01/2019,17446,2019
342,vicalvaro,01/01/2002,12291,2002
343,vicalvaro,01/01/2003,13031,2003
344,vicalvaro,01/01/2004,14793,2004
345,vicalvaro,01/01/2005,14860,2005
346,vicalvaro,01/01/2006,16548,2006
347,vicalvaro,01/01/2007,17517,2007
348,vicalvaro,01/01/2008,18832,2008
349,vicalvaro,01/01/2009,18774,2009
350,vicalvaro,01/01/2010,18558,2010
351,vicalvaro,01/01/2011,18694,2011
352,vicalvaro,01/01/2012,18056,2012
353,vicalvaro,01/01/2013,17905,2013
354,vicalvaro,01/01/2014,17950,2014
355,vicalvaro,01/01/2015,18752,2015
356,vicalvaro,01/01/2016,18887,2016
357,vicalvaro,01/01/2017,19383,2017
358,vicalvaro,01/01/2018,19723,2018
359,vicalvaro,01/01/2019,20080,2019
360,villa_vallecas,01/01/2002,12112,2002
361,villa_vallecas,01/01/2003,13105,2003
362,villa_vallecas,01/01/2004,14466,2004
363,villa_vallecas,01/01/2005,15254,2005
364,villa_vallecas,01/01/2006,16853,2006
365,villa_vallecas,01/01/2007,17406,2007
366,villa_vallecas,01/01/2008,18783,2008
367,villa_vallecas,01/01/2009,19115,2009
368,villa_vallecas,01/01/2010,19119,2010
369,villa_vallecas,01/01/2011,19032,2011
370,villa_vallecas,01/01/2012,18557,2012
371,villa_vallecas,01/01/2013,18327,2013
372,villa_vallecas,01/01/2014,18625,2014
373,villa_vallecas,01/01/2015,19219,2015
374,villa_vallecas,01/01/2016,19538,2016
375,villa_vallecas,01/01/2017,19954,2017
376,villa_vallecas,01/01/2018,20143,2018
377,villa_vallecas,01/01/2019,20551,2019
378,villaverde,01/01/2002,11666,2002
379,villaverde,01/01/2003,12530,2003
380,villaverde,01/01/2004,13909,2004
381,villaverde,01/01/2005,14226,2005
382,villaverde,01/01/2006,15352,2006
383,villaverde,01/01/2007,16190,2007
384,villaverde,01/01/2008,16414,2008
385,villaverde,01/01/2009,16491,2009
386,villaverde,01/01/2010,15865,2010
387,villaverde,01/01/2011,15925,2011
388,villaverde,01/01/2012,15783,2012
389,villaverde,01/01/2013,15738,2013
390,villaverde,01/01/2014,15942,2014
391,villaverde,01/01/2015,16522,2015
392,villaverde,01/01/2016,16735,2016
393,villaverde,01/01/2017,16566,2017
394,villaverde,01/01/2018,16688,2018
395,villaverde,01/01/2019,17191,2019
396,arganzuela,01/01/2020,27291,2020
397,arganzuela,01/01/2021,27872,2021
398,arganzuela,01/01/2022,28454,2022
399,arganzuela,01/01/2023,29035,2023
400,barajas,01/01/2020,27635,2020
401,barajas,01/01/2021,28186,2021
402,barajas,01/01/2022,28738,2022
403,barajas,01/01/2023,29289,2023
404,carabanchel,01/01/2020,19064,2020
405,carabanchel,01/01/2021,19312,2021
406,carabanchel,01/01/2022,19560,2022
407,carabanchel,01/01/2023,19808,2023
408,centro,01/01/2020,27245,2020
409,centro,01/01/2021,27798,2021
410,centro,01/01/2022,28350,2022
411,centro,01/01/2023,28902,2023
412,chamartin,01/01/2020,30080,2020
413,chamartin,01/01/2021,30591,2021
414,chamartin,01/01/2022,31101,2022
415,chamartin,01/01/2023,31612,2023
416,chamberi,01/01/2020,29936,2020
417,chamberi,01/01/2021,30465,2021
418,chamberi,01/01/2022,30994,2022
419,chamberi,01/01/2023,31524,2023
420,ciudad_lineal,01/01/2020,23087,2020
421,ciudad_lineal,01/01/2021,23462,2021
422,ciudad_lineal,01/01/2022,23837,2022
423,ciudad_lineal,01/01/2023,24212,2023
424,fuencarral,01/01/2020,25091,2020
425,fuencarral,01/01/2021,25537,2021
426,fuencarral,01/01/2022,25983,2022
427,fuencarral,01/01/2023,26429,2023
428,hortaleza,01/01/2020,25688,2020
429,hortaleza,01/01/2021,26182,2021
430,hortaleza,01/01/2022,26677,2022
431,hortaleza,01/01/2023,27172,2023
432,latina,01/01/2020,20696,2020
433,latina,01/01/2021,21013,2021
434,latina,01/01/2022,21331,2022
435,latina,01/01/2023,21648,2023
436,madrid,01/01/2020,23621,2020
437,madrid,01/01/2021,24013,2021
438,madrid,01/01/2022,24405,2022
439,madrid,01/01/2023,24797,2023
