distrito,nacionales,extranjeros,total,date,month,year
vicalvaro,61529,8212,69741.0,2014-07-01,7,2014
villaverde,118090,23962,142052.0,2014-07-01,7,2014
villa_vallecas,88080,11266,99346.0,2014-07-01,7,2014
madrid,2766100,395044,3161144.0,2014-07-01,7,2014
arganzuela,135789,14997,150786.0,2014-08-01,8,2014
barajas,41593,4134,45727.0,2014-08-01,8,2014
carabanchel,202824,38905,241729.0,2014-08-01,8,2014
centro,103715,28126,131841.0,2014-08-01,8,2014
chamartin,129361,12547,141908.0,2014-08-01,8,2014
chamberi,123209,14583,137792.0,2014-08-01,8,2014
ciudad_lineal,187176,26205,213381.0,2014-08-01,8,2014
fuencarral,216234,17307,233541.0,2014-08-01,8,2014
hortaleza,158430,15341,173771.0,2014-08-01,8,2014
latina,204083,32043,236126.0,2014-08-01,8,2014
moncloa,104334,11444,115778.0,2014-08-01,8,2014
moratalaz,88102,7458,95560.0,2014-08-01,8,2014
puente_vallecas,194361,33057,227418.0,2014-08-01,8,2014
retiro,110425,7990,118415.0,2014-08-01,8,2014
salamanca,126952,15794,142746.0,2014-08-01,8,2014
san_blas,137821,15206,153027.0,2014-08-01,8,2014
tetuan,125462,26008,151470.0,2014-08-01,8,2014
usera,109011,24007,133018.0,2014-08-01,8,2014
vicalvaro,61525,8055,69580.0,2014-08-01,8,2014
villaverde,118160,23527,141687.0,2014-08-01,8,2014
villa_vallecas,88218,11088,99306.0,2014-08-01,8,2014
madrid,2766785,387822,3154607.0,2014-08-01,8,2014
arganzuela,135814,14956,150770.0,2014-09-01,9,2014
barajas,41605,4152,45757.0,2014-09-01,9,2014
carabanchel,202873,38906,241779.0,2014-09-01,9,2014
centro,103783,28156,131939.0,2014-09-01,9,2014
chamartin,129347,12544,141891.0,2014-09-01,9,2014
chamberi,123157,14622,137779.0,2014-09-01,9,2014
ciudad_lineal,187122,26208,213330.0,2014-09-01,9,2014
fuencarral,216238,17313,233551.0,2014-09-01,9,2014
hortaleza,158778,15374,174152.0,2014-09-01,9,2014
latina,203989,31911,235900.0,2014-09-01,9,2014
moncloa,104378,11428,115806.0,2014-09-01,9,2014
moratalaz,88079,7470,95549.0,2014-09-01,9,2014
