,distrito,Nacionales,Extranjeros,nacionales,extranjeros,total,mes
18,vicalvaro           ,61529.0,8212.0,61529,8212,69741.0,01/07/14
19,villaverde          ,118090.0,23962.0,118090,23962,142052.0,01/07/14
20,villa_vallecas,88080.0,11266.0,88080,11266,99346.0,01/07/14
21,madrid,2766100.0,395044.0,2766100,395044,3161144.0,01/07/14
0,arganzuela          ,135789.0,14997.0,135789,14997,150786.0,01/08/14
1,barajas             ,41593.0,4134.0,41593,4134,45727.0,01/08/14
2,carabanchel         ,202824.0,38905.0,202824,38905,241729.0,01/08/14
3,centro              ,103715.0,28126.0,103715,28126,131841.0,01/08/14
4,chamartin           ,129361.0,12547.0,129361,12547,141908.0,01/08/14
5,chamberi            ,123209.0,14583.0,123209,14583,137792.0,01/08/14
6,ciudad_lineal,187176.0,26205.0,187176,26205,213381.0,01/08/14
7,fuencarral,216234.0,17307.0,216234,17307,233541.0,01/08/14
8,hortaleza           ,158430.0,15341.0,158430,15341,173771.0,01/08/14
9,latina              ,204083.0,32043.0,204083,32043,236126.0,01/08/14
10,moncloa,104334.0,11444.0,104334,11444,115778.0,01/08/14
11,moratalaz           ,88102.0,7458.0,88102,7458,95560.0,01/08/14
12,puente_vallecas,194361.0,33057.0,194361,33057,227418.0,01/08/14
13,retiro              ,110425.0,7990.0,110425,7990,118415.0,01/08/14
14,salamanca           ,126952.0,15794.0,126952,15794,142746.0,01/08/14
15,san:blas,137821.0,15206.0,137821,15206,153027.0,01/08/14
16,tetuan              ,125462.0,26008.0,125462,26008,151470.0,01/08/14
17,usera               ,109011.0,24007.0,109011,24007,133018.0,01/08/14
18,vicalvaro           ,61525.0,8055.0,61525,8055,69580.0,01/08/14
19,villaverde          ,118160.0,23527.0,118160,23527,141687.0,01/08/14
20,villa_vallecas,88218.0,11088.0,88218,11088,99306.0,01/08/14
21,madrid,2766785.0,387822.0,2766785,387822,3154607.0,01/08/14
0,arganzuela          ,135814.0,14956.0,135814,14956,150770.0,01/09/14
1,barajas             ,41605.0,4152.0,41605,4152,45757.0,01/09/14
2,carabanchel         ,202873.0,38906.0,202873,38906,241779.0,01/09/14
3,centro              ,103783.0,28156.0,103783,28156,131939.0,01/09/14
4,chamartin           ,129347.0,12544.0,129347,12544,141891.0,01/09/14
5,chamberi            ,123157.0,14622.0,123157,14622,137779.0,01/09/14
6,ciudad_lineal,187122.0,26208.0,187122,26208,213330.0,01/09/14
7,fuencarral,216238.0,17313.0,216238,17313,233551.0,01/09/14
8,hortaleza           ,158778.0,15374.0,158778,15374,174152.0,01/09/14
9,latina              ,203989.0,31911.0,203989,31911,235900.0,01/09/14
10,moncloa,104378.0,11428.0,104378,11428,115806.0,01/09/14
11,moratalaz           ,88079.0,7470.0,88079,7470,95549.0,01/09/14
12,puente_vallecas,194457.0,33036.0,194457,33036,227493.0,01/09/14
13,retiro              ,110434.0,7949.0,110434,7949,118383.0,01/09/14
14,salamanca           ,126931.0,15818.0,126931,15818,142749.0,01/09/14
15,san:blas,137819.0,15209.0,137819,15209,153028.0,01/09/14
16,tetuan              ,125644.0,25989.0,125644,25989,151633.0,01/09/14
17,usera               ,109045.0,24136.0,109045,24136,133181.0,01/09/14
18,vicalvaro           ,61583.0,8076.0,61583,8076,69659.0,01/09/14
19,villaverde          ,118206.0,23566.0,118206,23566,141772.0,01/09/14
20,villa_vallecas,88337.0,11097.0,88337,11097,99434.0,01/09/14
21,madrid,2767619.0,387916.0,2767619,387916,3155535.0,01/09/14
0,arganzuela          ,136074.0,15016.0,136074,15016,151090.0,01/10/14
1,barajas             ,41705.0,4179.0,41705,4179,45884.0,01/10/14
2,carabanchel         ,203303.0,38927.0,203303,38927,242230.0,01/10/14
3,centro              ,104068.0,28280.0,104068,28280,132348.0,01/10/14
4,chamartin           ,129480.0,12568.0,129480,12568,142048.0,01/10/14
5,chamberi            ,123365.0,14744.0,123365,14744,138109.0,01/10/14
6,ciudad_lineal,187278.0,26249.0,187278,26249,213527.0,01/10/14
7,fuencarral,216509.0,17365.0,216509,17365,233874.0,01/10/14
8,hortaleza           ,159298.0,15416.0,159298,15416,174714.0,01/10/14
9,latina              ,204152.0,31997.0,204152,31997,236149.0,01/10/14
10,moncloa,104740.0,11635.0,104740,11635,116375.0,01/10/14
11,moratalaz           ,88106.0,7476.0,88106,7476,95582.0,01/10/14
12,puente_vallecas,194884.0,33216.0,194884,33216,228100.0,01/10/14
13,retiro              ,110560.0,7988.0,110560,7988,118548.0,01/10/14
14,salamanca           ,127153.0,16045.0,127153,16045,143198.0,01/10/14
15,san:blas,138031.0,15366.0,138031,15366,153397.0,01/10/14
16,tetuan              ,125887.0,25947.0,125887,25947,151834.0,01/10/14
17,usera               ,109276.0,24246.0,109276,24246,133522.0,01/10/14
18,vicalvaro           ,61659.0,8081.0,61659,8081,69740.0,01/10/14
19,villaverde          ,118485.0,23614.0,118485,23614,142099.0,01/10/14
20,villa_vallecas,88555.0,11122.0,88555,11122,99677.0,01/10/14
21,madrid,2772568.0,389477.0,2772568,389477,3162045.0,01/10/14
0,arganzuela          ,136006.0,15005.0,136006,15005,151011.0,01/11/14
1,barajas             ,41730.0,4122.0,41730,4122,45852.0,01/11/14
2,carabanchel         ,202978.0,38614.0,202978,38614,241592.0,01/11/14
3,centro              ,103932.0,28468.0,103932,28468,132400.0,01/11/14
4,chamartin           ,129459.0,12668.0,129459,12668,142127.0,01/11/14
5,chamberi            ,123274.0,15064.0,123274,15064,138338.0,01/11/14
6,ciudad_lineal,186963.0,26166.0,186963,26166,213129.0,01/11/14
7,fuencarral,216550.0,17355.0,216550,17355,233905.0,01/11/14
8,hortaleza           ,159446.0,15379.0,159446,15379,174825.0,01/11/14
9,latina              ,203793.0,31891.0,203793,31891,235684.0,01/11/14
10,moncloa,104752.0,11820.0,104752,11820,116572.0,01/11/14
11,moratalaz           ,87925.0,7411.0,87925,7411,95336.0,01/11/14
12,puente_vallecas,194621.0,33079.0,194621,33079,227700.0,01/11/14
13,retiro              ,110475.0,8024.0,110475,8024,118499.0,01/11/14
14,salamanca           ,127100.0,16361.0,127100,16361,143461.0,01/11/14
15,san:blas,137912.0,15321.0,137912,15321,153233.0,01/11/14
16,tetuan              ,125868.0,25947.0,125868,25947,151815.0,01/11/14
17,usera               ,109258.0,24168.0,109258,24168,133426.0,01/11/14
18,vicalvaro           ,61670.0,7971.0,61670,7971,69641.0,01/11/14
19,villaverde          ,118350.0,23434.0,118350,23434,141784.0,01/11/14
20,villa_vallecas,88624.0,11050.0,88624,11050,99674.0,01/11/14
21,madrid,2770686.0,389318.0,2770686,389318,3160004.0,01/11/14
0,arganzuela          ,136196.0,15053.0,136196,15053,151249.0,01/12/14
1,barajas             ,41822.0,4130.0,41822,4130,45952.0,01/12/14
2,carabanchel         ,203273.0,38769.0,203273,38769,242042.0,01/12/14
3,centro              ,104157.0,28742.0,104157,28742,132899.0,01/12/14
4,chamartin           ,129492.0,12744.0,129492,12744,142236.0,01/12/14
5,chamberi            ,123429.0,15135.0,123429,15135,138564.0,01/12/14
6,ciudad_lineal,187037.0,26308.0,187037,26308,213345.0,01/12/14
7,fuencarral,216836.0,17312.0,216836,17312,234148.0,01/12/14
8,hortaleza           ,159762.0,15479.0,159762,15479,175241.0,01/12/14
9,latina              ,203927.0,32008.0,203927,32008,235935.0,01/12/14
10,moncloa,104932.0,11904.0,104932,11904,116836.0,01/12/14
11,moratalaz           ,87897.0,7450.0,87897,7450,95347.0,01/12/14
12,puente_vallecas,194676.0,33165.0,194676,33165,227841.0,01/12/14
13,retiro              ,110590.0,8075.0,110590,8075,118665.0,01/12/14
14,salamanca           ,127198.0,16570.0,127198,16570,143768.0,01/12/14
15,san:blas,138020.0,15374.0,138020,15374,153394.0,01/12/14
16,tetuan              ,126188.0,26048.0,126188,26048,152236.0,01/12/14
