date,precio_m2,var_mensual,var_trimest,var_anual,distrito,month,year
2022-03-01,3331,0.7,0.8,2.8,barajas,3,2022
2022-02-01,3355,0.3,0.6,3.9,barajas,2,2022
2022-01-01,3343,0.4,0.7,5.4,barajas,1,2022
2021-12-01,3356,0.6,0.9,6.2,barajas,12,2021
2021-11-01,3375,0.3,1.9,6.3,barajas,11,2021
2021-10-01,3366,1.2,5.0,7.0,barajas,10,2021
2021-09-01,3327,0.4,4.8,5.4,barajas,9,2021
2021-08-01,3313,3.3,4.7,4.3,barajas,8,2021
2021-07-01,3207,1.0,0.4,1.5,barajas,7,2021
2021-06-01,3173,0.3,2.0,0.1,barajas,6,2021
2021-05-01,3163,1.0,2.0,0.5,barajas,5,2021
2021-04-01,3194,1.4,0.7,0.3,barajas,4,2021
2021-03-01,3239,0.3,2.5,1.9,barajas,3,2021
2021-02-01,3229,1.8,1.6,1.1,barajas,2,2021
2021-01-01,3173,0.4,0.9,0.3,barajas,1,2021
2020-12-01,3159,0.5,0.1,2.7,barajas,12,2020
2020-11-01,3177,1.0,0.0,0.5,barajas,11,2020
2020-10-01,3146,0.4,0.4,0.7,barajas,10,2020
2020-09-01,3158,0.6,0.4,2.4,barajas,9,2020
2020-08-01,3176,0.6,1.0,2.0,barajas,8,2020
2020-07-01,3158,0.4,0.9,1.3,barajas,7,2020
2020-06-01,3169,0.7,0.2,1.6,barajas,6,2020
2020-05-01,3146,1.3,1.5,0.7,barajas,5,2020
2020-04-01,3186,0.3,0.1,0.4,barajas,4,2020
2020-03-01,3177,0.5,2.2,0.5,barajas,3,2020
2020-02-01,3193,0.3,0.0,1.8,barajas,2,2020
2020-01-01,3183,2.0,1.9,2.1,barajas,1,2020
2019-12-01,3248,1.7,5.3,3.1,barajas,12,2019
2019-11-01,3194,2.3,2.5,1.8,barajas,11,2019
2019-10-01,3123,1.2,0.1,1.2,barajas,10,2019
2019-09-01,3085,1.0,1.2,0.2,barajas,9,2019
2019-08-01,3114,0.1,1.7,4.5,barajas,8,2019
2019-07-01,3119,0.1,1.7,6.3,barajas,7,2019
2019-06-01,3121,1.5,1.3,7.5,barajas,6,2019
2019-05-01,3169,0.1,1.0,9.7,barajas,5,2019
2019-04-01,3173,0.3,1.8,11.7,barajas,4,2019
2019-03-01,3163,0.8,0.4,11.8,barajas,3,2019
2019-02-01,3138,0.6,0.0,10.2,barajas,2,2019
2019-01-01,3118,1.0,1.0,11.8,barajas,1,2019
2018-12-01,3151,0.5,1.9,13.2,barajas,12,2018
2018-11-01,3136,1.6,5.2,11.8,barajas,11,2018
2018-10-01,3086,0.2,5.2,9.3,barajas,10,2018
2018-09-01,3092,3.7,6.5,15.8,barajas,9,2018
2018-08-01,2982,1.6,3.3,13.7,barajas,8,2018
2018-07-01,2935,1.1,3.3,11.4,barajas,7,2018
2018-06-01,2903,0.5,2.6,9.9,barajas,6,2018
2018-05-01,2887,1.7,1.4,9.2,barajas,5,2018
2018-04-01,2840,0.4,1.8,7.3,barajas,4,2018
2018-03-01,2828,0.7,1.6,6.6,barajas,3,2018
2018-02-01,2849,2.1,1.5,6.7,barajas,2,2018
2018-01-01,2790,0.3,1.2,4.6,barajas,1,2018
2017-12-01,2783,0.8,4.2,6.1,barajas,12,2017
2017-11-01,2805,0.7,7.0,8.1,barajas,11,2017
2017-10-01,2825,5.8,7.2,8.8,barajas,10,2017
2017-09-01,2670,1.8,1.1,2.9,barajas,9,2017
2017-08-01,2622,0.5,0.8,1.8,barajas,8,2017
2017-07-01,2635,0.2,0.4,1.9,barajas,7,2017
2017-06-01,2642,0.1,0.4,2.0,barajas,6,2017
2017-05-01,2644,0.1,1.0,2.0,barajas,5,2017
2017-04-01,2647,0.2,0.7,3.5,barajas,4,2017
2017-03-01,2653,0.7,1.1,4.0,barajas,3,2017
2017-02-01,2671,0.1,2.9,4.5,barajas,2,2017
2017-01-01,2667,1.6,2.7,3.8,barajas,1,2017
2016-12-01,2623,1.1,1.1,2.6,barajas,12,2016
2016-11-01,2595,0.0,0.7,0.9,barajas,11,2016
2016-10-01,2596,0.0,0.4,2.0,barajas,10,2016
2016-09-01,2596,0.8,0.2,1.2,barajas,9,2016
2016-08-01,2576,0.4,0.6,0.3,barajas,8,2016
2016-07-01,2586,0.2,1.1,0.3,barajas,7,2016
2016-06-01,2591,0.1,1.6,0.5,barajas,6,2016
2016-05-01,2593,1.4,1.4,0.4,barajas,5,2016
2016-04-01,2557,0.3,0.5,1.1,barajas,4,2016
2016-03-01,2550,0.2,0.3,0.8,barajas,3,2016
2016-02-01,2556,0.5,0.6,2.7,barajas,2,2016
2016-01-01,2570,0.5,0.9,2.5,barajas,1,2016
2015-12-01,2558,0.6,0.3,0.1,barajas,12,2015
2015-11-01,2572,1.0,0.4,1.3,barajas,11,2015
2015-10-01,2546,0.8,1.8,3.2,barajas,10,2015
2015-09-01,2565,0.7,1.5,1.7,barajas,9,2015
2015-08-01,2583,0.4,0.0,0.4,barajas,8,2015
2015-07-01,2594,0.4,0.3,0.2,barajas,7,2015
2015-06-01,2605,0.9,1.3,1.1,barajas,6,2015
2015-05-01,2582,0.1,1.7,1.0,barajas,5,2015
2015-04-01,2586,0.5,1.9,0.7,barajas,4,2015
2015-03-01,2572,2.1,0.4,2.4,barajas,3,2015
2015-02-01,2628,0.4,0.8,0.6,barajas,2,2015
2015-01-01,2637,3.0,0.3,0.2,barajas,1,2015
2014-12-01,2560,1.8,1.9,2.9,barajas,12,2014
2014-11-01,2607,0.8,1.3,0.4,barajas,11,2014
2014-10-01,2629,0.7,1.5,0.5,barajas,10,2014
2014-09-01,2611,1.5,1.3,1.4,barajas,9,2014
2014-08-01,2573,0.6,0.6,2.0,barajas,8,2014
2014-07-01,2589,0.5,0.9,3.2,barajas,7,2014
2014-06-01,2577,0.8,2.2,4.1,barajas,6,2014
2014-05-01,2558,0.4,3.3,7.3,barajas,5,2014
2014-04-01,2567,2.6,2.8,7.9,barajas,4,2014
2014-03-01,2636,0.3,0.1,4.8,barajas,3,2014
2014-02-01,2644,0.1,1.0,6.0,barajas,2,2014
2014-01-01,2641,0.1,0.0,6.7,barajas,1,2014
2013-12-01,2638,0.7,0.4,7.0,barajas,12,2013
2013-11-01,2618,0.9,0.3,8.5,barajas,11,2013
2013-10-01,2642,0.3,1.2,10.2,barajas,10,2013
2013-09-01,2649,0.9,1.4,10.4,barajas,9,2013
2013-08-01,2626,1.8,4.8,10.1,barajas,8,2013
2013-07-01,2674,0.5,4.0,9.1,barajas,7,2013
2013-06-01,2687,2.6,2.9,9.2,barajas,6,2013
2013-05-01,2758,1.0,1.9,8.2,barajas,5,2013
2013-04-01,2786,0.6,1.6,8.7,barajas,4,2013
2013-03-01,2769,1.5,2.4,9.5,barajas,3,2013
2013-02-01,2811,0.7,1.7,7.1,barajas,2,2013
2013-01-01,2830,0.2,3.7,6.7,barajas,1,2013
2012-12-01,2836,0.9,4.1,6.6,barajas,12,2012
2012-11-01,2860,2.7,2.1,7.8,barajas,11,2012
2012-10-01,2940,0.6,0.1,5.8,barajas,10,2012
2012-09-01,2957,1.2,0.1,5.0,barajas,9,2012
2012-08-01,2922,0.7,2.7,6.6,barajas,8,2012
2012-07-01,2942,0.6,3.6,7.5,barajas,7,2012
2012-06-01,2959,1.5,3.2,8.9,barajas,6,2012
2012-05-01,3004,1.5,0.8,7.5,barajas,5,2012
2012-04-01,3051,0.2,0.6,6.5,barajas,4,2012
2012-03-01,3058,1.0,0.7,3.6,barajas,3,2012
2023-06-01,2457,0.4,3.5,8.2,carabanchel,6,2023
2023-05-01,2448,2.1,3.0,9.3,carabanchel,5,2023
2023-04-01,2398,1.0,1.4,8.6,carabanchel,4,2023
2023-03-01,2374,0.1,0.3,8.6,carabanchel,3,2023
2023-02-01,2377,0.5,0.9,9.9,carabanchel,2,2023
2023-01-01,2366,0.0,1.1,9.7,carabanchel,1,2023
2022-12-01,2366,0.4,1.1,9.8,carabanchel,12,2022
2022-11-01,2355,0.7,2.2,10.2,carabanchel,11,2022
2022-10-01,2340,0.0,1.8,9.4,carabanchel,10,2022
2022-09-01,2340,1.6,3.1,9.4,carabanchel,9,2022
2022-08-01,2304,0.3,2.9,8.4,carabanchel,8,2022
2022-07-01,2298,1.2,4.1,6.6,carabanchel,7,2022
2022-06-01,2270,1.3,3.9,4.3,carabanchel,6,2022
2022-05-01,2240,1.5,3.6,3.2,carabanchel,5,2022
2022-04-01,2208,1.0,2.4,3.9,carabanchel,4,2022
2022-03-01,2185,1.1,1.4,2.7,carabanchel,3,2022
2022-02-01,2162,0.3,1.2,0.5,carabanchel,2,2022
2022-01-01,2156,0.0,0.7,0.2,carabanchel,1,2022
2021-12-01,2155,0.8,0.7,0.4,carabanchel,12,2021
2021-11-01,2138,0.1,0.6,1.4,carabanchel,11,2021
2021-10-01,2140,0.0,0.8,1.6,carabanchel,10,2021
2021-09-01,2140,0.7,1.6,1.7,carabanchel,9,2021
2021-08-01,2125,1.4,2.1,3.1,carabanchel,8,2021
2021-07-01,2156,0.9,1.5,0.9,carabanchel,7,2021
2021-06-01,2176,0.2,2.3,0.9,carabanchel,6,2021
2021-05-01,2171,2.2,0.9,0.2,carabanchel,5,2021
2021-04-01,2124,0.2,1.3,2.8,carabanchel,4,2021
2021-03-01,2127,1.1,1.7,3.8,carabanchel,3,2021
2021-02-01,2152,0.0,0.8,2.6,carabanchel,2,2021
